País,Continente,Aérea,Marítima,Total,Ano
Venezuela,América do Sul,4541,25,4566,2017
Arábia Saudita,Ásia,270,0,270,2017
Bangladesh,Ásia,119,0,119,2017
China,Ásia,11417,210,11627,2017
Hong Kong,Ásia,831,16,847,2017
Cingapura,Ásia,1523,22,1545,2017
Filipinas,Ásia,1713,52,1765,2017
Índia,Ásia,3688,24,3712,2017
Indonésia,Ásia,496,6,502,2017
Irã,Ásia,847,0,847,2017
Israel,Ásia,7520,57,7577,2017
Japão,Ásia,8542,922,9464,2017
Líbano,Ásia,525,0,525,2017
Malásia,Ásia,1511,12,1523,2017
Paquistão,Ásia,302,0,302,2017
República da Coreia,Ásia,3556,41,3597,2017
Síria,Ásia,195,0,195,2017
Tailândia,Ásia,685,21,706,2017
Taiwan,Ásia,905,31,936,2017
Outros - Ásia,Ásia,1992,16,2008,2017
Alemanha,Europa,50782,1414,52196,2017
Áustria,Europa,6851,79,6930,2017
Bélgica,Europa,6930,66,6996,2017
Bulgária,Europa,844,16,860,2017
Croácia,Europa,1069,7,1076,2017
Dinamarca,Europa,6085,29,6114,2017
Eslováquia,Europa,751,2,753,2017
Eslovênia,Europa,584,9,593,2017
Espanha,Europa,28182,244,28426,2017
Estônia,Europa,332,1,333,2017
Finlândia,Europa,2187,28,2215,2017
França,Europa,78398,496,78894,2017
Grécia,Europa,1654,12,1666,2017
Holanda,Europa,16960,227,17187,2017
Hungria,Europa,1079,9,1088,2017
Irlanda,Europa,3908,59,3967,2017
Itália,Europa,37022,661,37683,2017
Letônia,Europa,383,13,396,2017
Lituânia,Europa,588,6,594,2017
Luxemburgo,Europa,723,2,725,2017
Noruega,Europa,8160,13,8173,2017
Polônia,Europa,9771,42,9813,2017
Portugal,Europa,41463,151,41614,2017
Reino Unido,Europa,68515,748,69263,2017
República Tcheca,Europa,1554,16,1570,2017
Romênia,Europa,1984,16,2000,2017
Rússia,Europa,7252,81,7333,2017
Sérvia,Europa,676,4,680,2017
Suécia,Europa,7822,41,7863,2017
Suíça,Europa,15685,168,15853,2017
Turquia,Europa,2635,16,2651,2017
Ucrânia,Europa,1623,34,1657,2017
Outros - Europa,Europa,1434,28,1462,2017
Austrália,Oceania,11292,1659,12951,2017
